Page URL,Link URL,HTTP Code,Discovered
https://sweet-home.co.il/,https://sweet-home-ien7.onrender.com/,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/,https://sweet-home-ien7.onrender.com/de,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/,https://sweet-home-ien7.onrender.com/es,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/about,https://sweet-home-ien7.onrender.com/about,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/auth/forgot,https://sweet-home-ien7.onrender.com/auth/forgot,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/auth/login,https://sweet-home-ien7.onrender.com/auth/login,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/auth/register,https://sweet-home-ien7.onrender.com/auth/register,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog,https://sweet-home-ien7.onrender.com/blog,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog/berlin-the-capital-of-micro-neighborhoods-and-long-term-demand,https://sweet-home-ien7.onrender.com/blog/berlin-the-capital-of-micro-neighborhoods-and-long-term-demand,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog/berlin-the-kiez-effect-and-why-one-street-can-change-everything,https://sweet-home-ien7.onrender.com/blog/berlin-the-kiez-effect-and-why-one-street-can-change-everything,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog/cyprus-the-hybrid-home-strategy,https://sweet-home-ien7.onrender.com/blog/cyprus-the-hybrid-home-strategy,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog/cypruss-fastest-moving-city-and-the-islands-business-heart,https://sweet-home-ien7.onrender.com/blog/cypruss-fastest-moving-city-and-the-islands-business-heart,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog/dubai-why-service-charges-quietly-decide-your-real-return,https://sweet-home-ien7.onrender.com/blog/dubai-why-service-charges-quietly-decide-your-real-return,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog/the-exit-plan-rule-the-real-estate-principle-that-protects-every-buyer,https://sweet-home-ien7.onrender.com/blog/the-exit-plan-rule-the-real-estate-principle-that-protects-every-buyer,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog/the-hidden-cost-of-cheap-why-the-lowest-price-often-becomes-the-most-expensive-home,https://sweet-home-ien7.onrender.com/blog/the-hidden-cost-of-cheap-why-the-lowest-price-often-becomes-the-most-expensive-home,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog?page=1,https://sweet-home-ien7.onrender.com/blog,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog?page=3,https://sweet-home-ien7.onrender.com/blog?page=3,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog?page=6,https://sweet-home-ien7.onrender.com/blog?page=6,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/blog?page=7,https://sweet-home-ien7.onrender.com/blog?page=7,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/contact,https://sweet-home-ien7.onrender.com/contact,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/de,https://sweet-home-ien7.onrender.com/es,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/de,https://sweet-home-ien7.onrender.com/,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/de,https://sweet-home-ien7.onrender.com/de,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/es,https://sweet-home-ien7.onrender.com/es,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/es,https://sweet-home-ien7.onrender.com/,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/es,https://sweet-home-ien7.onrender.com/de,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/owners,https://sweet-home-ien7.onrender.com/owners,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/privacy,https://sweet-home-ien7.onrender.com/privacy,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/projects,https://sweet-home-ien7.onrender.com/projects,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/projects/azizi-arian,https://sweet-home-ien7.onrender.com/projects/azizi-arian,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/projects/regions,https://sweet-home-ien7.onrender.com/projects/regions,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/projects?country=Cyprus,https://sweet-home-ien7.onrender.com/projects?country=Cyprus,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/projects?country=Germany&city=Berlin,https://sweet-home-ien7.onrender.com/projects?country=Germany&city=Berlin,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/projects?country=UAE&city=Dubai,https://sweet-home-ien7.onrender.com/projects?country=UAE&city=Dubai,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/projects?page=2,https://sweet-home-ien7.onrender.com/projects?page=2,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/projects?page=3,https://sweet-home-ien7.onrender.com/projects?page=3,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/projects?page=5,https://sweet-home-ien7.onrender.com/projects?page=5,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Cyprus,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Cyprus&page=1,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Cyprus&page=2,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Cyprus&page=3,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Cyprus&page=4,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Cyprus&page=5,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Cyprus&page=6,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Germany&city=Berlin,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Germany&city=Berlin&page=2,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Germany&city=Berlin&page=3,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=Germany&city=Berlin&page=7,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?country=UAE&city=Dubai,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?page=1,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?page=13,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?page=2,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?page=3,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?page=4,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/properties?page=5,https://sweet-home-ien7.onrender.com/properties,404,08 Feb 2026 (02:33 UTC)
https://sweet-home.co.il/terms,https://sweet-home-ien7.onrender.com/terms,404,08 Feb 2026 (02:33 UTC)
