Page URL,Hreflang,Issue Type,Discovered
https://sweet-home.co.il/,,No self-referencing hreflang,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/owners,,No self-referencing hreflang,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/privacy,,No self-referencing hreflang,06 Jan 2026 (12:38 UTC)
https://sweet-home.co.il/services,,No self-referencing hreflang,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/,de-de,Conflicting hreflang and rel=canonical,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/owners,de-de,Conflicting hreflang and rel=canonical,05 Jan 2026 (20:29 UTC)
https://sweet-home.co.il/privacy,de-de,Conflicting hreflang and rel=canonical,06 Jan 2026 (12:38 UTC)
https://sweet-home.co.il/,en-us,Conflicting hreflang and rel=canonical,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/owners,en-us,Conflicting hreflang and rel=canonical,05 Jan 2026 (20:29 UTC)
https://sweet-home.co.il/privacy,en-us,Conflicting hreflang and rel=canonical,06 Jan 2026 (12:38 UTC)
https://sweet-home.co.il/,es-es,Conflicting hreflang and rel=canonical,05 Jan 2026 (19:13 UTC)
https://sweet-home.co.il/owners,es-es,Conflicting hreflang and rel=canonical,05 Jan 2026 (20:29 UTC)
https://sweet-home.co.il/privacy,es-es,Conflicting hreflang and rel=canonical,06 Jan 2026 (12:38 UTC)
https://sweet-home.co.il/,x-default,Conflicting hreflang and rel=canonical,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/owners,x-default,Conflicting hreflang and rel=canonical,05 Jan 2026 (20:29 UTC)
https://sweet-home.co.il/privacy,x-default,Conflicting hreflang and rel=canonical,06 Jan 2026 (12:38 UTC)
